idx,question,db_id,gold_sql,difficulty,lora_sql,lora_correct,dora_sql,dora_correct,complexity_score,complexity_bucket
114,What is the number of makers of care in France?,car_1,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,,SELECT count(*) FROM car_makers WHERE country  =  'France',False,"SELECT count(*) FROM countries WHERE continent  =  ""Europe"" INTERSECT SELECT count(*) FROM car_makers WHERE country  =  ""France""",False,2,moderate
115,How many car models are produced in the usa?,car_1,SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';,,"SELECT count(*) FROM car_names WHERE country_name  =  ""USA""",False,"SELECT count(*) FROM countries WHERE countryName  =  ""USA""",False,3,complex
116,What is the count of the car models produced in the United States?,car_1,SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';,,SELECT count(*) FROM car_names AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker WHERE T2.Country  =  'United States',False,"SELECT count(*) FROM car_names AS T1 JOIN countries AS T2 ON T1.countryid  =  T2.countryid WHERE T2.countryname  =  ""United States""",False,3,complex
117,What is the average miles per gallon(mpg) of the cars with 4 cylinders?,car_1,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;,,SELECT avg(MPG) FROM cars_data WHERE Cylinders  =  4,True,SELECT avg(MPG) FROM cars_data WHERE Cylinders  =  4,True,1,moderate
118,What is the average miles per gallon of all the cards with 4 cylinders?,car_1,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;,,SELECT avg(MPG) FROM cars_data WHERE Cylinders  =  4,True,SELECT avg(MPG) FROM cars_data WHERE Cylinders  =  4,True,1,moderate
119,What is the smallest weight of the car produced with 8 cylinders on 1974 ?,car_1,select min(weight) from cars_data where cylinders  =  8 and year  =  1974,,SELECT min(Weight) FROM cars_data WHERE Cylinders  =  8 AND YEAR  =  1974,True,SELECT min(Weight) FROM cars_data WHERE Cylinders  =  8 AND Year  =  1974,True,2,moderate
120,What is the minimum weight of the car with 8 cylinders produced in 1974 ?,car_1,select min(weight) from cars_data where cylinders  =  8 and year  =  1974,,SELECT min(Weight) FROM cars_data WHERE Cylinders  =  8 AND Year  =  1974,True,SELECT min(Weight) FROM cars_data WHERE Cylinders  =  8 AND Year  =  1974,True,2,moderate
121,What are all the makers and models?,car_1,"SELECT Maker ,  Model FROM MODEL_LIST;",,"SELECT T1.Maker ,  T1.Model FROM car_names AS T1 JOIN car_makers AS T2 ON T1.MakeId  =  T2.id",False,"SELECT T1.Maker ,  T1.Model FROM car_names AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker",False,0,simple
122,What are the makers and models?,car_1,"SELECT Maker ,  Model FROM MODEL_LIST;",,"SELECT T1.Maker ,  T1.Model FROM car_names AS T1 JOIN car_makers AS T2 ON T1.MakeId  =  T2.id",False,"SELECT T1.Maker ,  T1.Model FROM car_names AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker",False,0,simple
123,What are the countries having at least one car maker? List name and id.,car_1,"SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;",,"SELECT countryname ,  countryid FROM countries WHERE continentid  =  (SELECT continentid FROM continents WHERE continentid  =  1) INTERSECT SELECT countryname ,  countryid FROM countries WHERE continentid  =  (SELECT continentid FROM continents WHERE continentid  =  2)",False,"SELECT T2.CountryName ,  T1.CountryId FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId  =  T2.Country WHERE T2.Continent  =  ""Asia""",False,4,complex
124,What are the names and ids of all countries with at least one car maker?,car_1,"SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;",,"SELECT countryname ,  countryid FROM countries WHERE continentid  =  (SELECT continentid FROM continents WHERE continentid  =  1) INTERSECT SELECT countryname ,  countryid FROM countries WHERE continentid  =  (SELECT continentid FROM continents WHERE continentid  =  2) INTERSECT SELECT countryname ,  countryid FROM countries WHERE continentid  =  (SELECT continentid FROM continents WHERE continentid  =  3)",False,"SELECT T1.CountryName ,  T1.CountryId FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId  =  T2.Country WHERE T2.Cylinders  =  4",False,4,complex
125,What is the number of the cars with horsepower more than 150?,car_1,SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;,,SELECT count(*) FROM cars_data WHERE horsepower  >  150,True,SELECT count(*) FROM cars_data WHERE horsepower  >  150,True,1,moderate
126,What is the number of cars with a horsepower greater than 150?,car_1,SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;,,SELECT count(*) FROM cars_data WHERE horsepower  >  150,True,SELECT count(*) FROM cars_data WHERE horsepower  >  150,True,1,moderate
127,What is the average weight of cars each year?,car_1,"SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;",,"SELECT avg(weight) ,  year FROM cars_data GROUP BY year",True,"SELECT avg(weight) ,  year FROM cars_data GROUP BY year",True,2,moderate
128,What is the average weight and year for each year?,car_1,"SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;",,"SELECT avg(weight) ,  year FROM cars_data GROUP BY year",True,"SELECT avg(weight) ,  year FROM cars_data GROUP BY year",True,2,moderate
129,Which countries in europe have at least 3 car manufacturers?,car_1,SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,,SELECT countryname FROM countries WHERE continent  =  'europe' INTERSECT SELECT countryname FROM car_makers WHERE country  =  'europe',False,SELECT T2.Country FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId  =  T2.Country WHERE T1.Continent  =  'Europe' GROUP BY T2.CountryId HAVING count(*)  >=  3,False,5,complex
130,What are the names of all European countries with at least 3 manufacturers?,car_1,SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,,SELECT countryname FROM countries WHERE continent  =  'Europe' INTERSECT SELECT countryname FROM car_names WHERE countryid  =  (SELECT countryid FROM countries WHERE continent  =  'Europe'),False,"SELECT T2.CountryName FROM countries AS T1 JOIN continents AS T2 ON T1.Continent  =  T2.Continent WHERE T1.Continent  =  ""Europe"" GROUP BY T1.CountryName HAVING count(*)  >=  3",False,5,complex
131,What is the maximum horsepower and the make of the car models with 3 cylinders?,car_1,"SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;",,"SELECT max(horsepower) ,  t2.maker FROM cars_data AS t1 JOIN car_makers AS t2 ON t1.maker  =  t2.country GROUP BY t2.country ORDER BY t1.horsepower DESC LIMIT 1",False,"SELECT max(horsepower) ,  t2.Maker FROM cars_data AS t1 JOIN car_makers AS t2 ON t1.Maker  =  t2.Maker JOIN countries AS t3 ON t2.Country  =  t3.Country WHERE t1.Cylinders  =  3 GROUP BY t1.Maker",False,1,moderate
132,What is the largest amount of horsepower for the models with 3 cylinders and what make is it?,car_1,"SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;",,"SELECT max(horsepower) ,  maker FROM cars_data WHERE Cylinders  =  3 GROUP BY maker",False,"SELECT max(horsepower) ,  t2.maker FROM cars_data AS t1 JOIN car_makers AS t2 ON t1.maker  =  t2.maker WHERE t1.cylinders  =  3",False,1,moderate
133,"Which model saves the most gasoline? That is to say, have the maximum miles per gallon.",car_1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.mpg DESC LIMIT 1;,,SELECT t2.Model FROM car_names AS t1 JOIN car_data AS t2 ON t1.MakeId  =  t2.Make GROUP BY t2.Model ORDER BY count(*) DESC LIMIT 1,False,SELECT T1.Model FROM cars_data AS T1 JOIN model_list AS T2 ON T1.Model  =  T2.Model GROUP BY T1.Model ORDER BY count(*) DESC LIMIT 1,False,1,moderate
134,What is the car model with the highest mpg ?,car_1,select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.mpg desc limit 1;,,SELECT Model FROM car_names ORDER BY Horsepower DESC LIMIT 1,False,SELECT Model FROM car_names ORDER BY Horsepower DESC LIMIT 1,False,1,moderate
135,What is the average horsepower of the cars before 1980?,car_1,SELECT avg(horsepower) FROM CARS_DATA WHERE YEAR  <  1980;,,SELECT avg(horsepower) FROM cars_data WHERE YEAR  <  1980,True,SELECT avg(horsepower) FROM cars_data WHERE YEAR  <  1980,True,1,moderate
136,What is the average horsepower for all cars produced before 1980 ?,car_1,select avg(horsepower) from cars_data where year  <  1980;,,SELECT avg(horsepower) FROM cars_data WHERE YEAR  <  1980,True,SELECT avg(horsepower) FROM cars_data WHERE YEAR  <  1980,True,1,moderate
137,What is the average edispl of the cars of model volvo?,car_1,SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';,,"SELECT avg(edispl) FROM cars_data WHERE maker = ""volvo""",False,"SELECT avg(edispl) FROM cars_data WHERE model = ""volvo""",False,2,moderate
138,What is the average edispl for all volvos?,car_1,SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';,,"SELECT avg(edispl) FROM cars_data WHERE maker = ""Volvo""",False,SELECT avg(edispl) FROM cars_data WHERE maker  =  'Volvo',False,2,moderate
139,What is the maximum accelerate for different number of cylinders?,car_1,"SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;",,"SELECT max(Accelerate) ,  count(*) FROM cars_data GROUP BY Cylinders",False,"SELECT max(Accelerate) ,  count(*) FROM cars_data GROUP BY Cylinders",False,2,moderate
140,What is the maximum accelerate for all the different cylinders?,car_1,"SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;",,SELECT max(Accelerate) FROM cars_data GROUP BY Cylinders,False,SELECT max(Accelerate) FROM cars_data GROUP BY Cylinders,False,2,moderate
141,Which model has the most version(make) of cars?,car_1,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,,SELECT t1.Model FROM car_names AS t1 JOIN cars_data AS t2 ON t1.MakeId  =  t2.Make GROUP BY t1.Model ORDER BY count(*) DESC LIMIT 1,False,SELECT T1.Model FROM car_names AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN cars_data AS T3 ON T2.Id  =  T3.Maker GROUP BY T1.Model ORDER BY count(*) DESC LIMIT 1,False,2,moderate
142,What model has the most different versions?,car_1,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,,SELECT model FROM car_names GROUP BY model ORDER BY count(*) DESC LIMIT 1,True,SELECT T1.Model FROM car_names AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN car_names AS T3 ON T2.Maker  =  T3.Maker JOIN car_makers AS T4 ON T3.Maker  =  T4.Maker GROUP BY T1.Model ORDER BY count(*) DESC LIMIT 1,False,2,moderate
143,How many cars have more than 4 cylinders?,car_1,SELECT count(*) FROM CARS_DATA WHERE Cylinders  >  4;,,SELECT count(*) FROM cars_data WHERE Cylinders  >  4,True,SELECT count(*) FROM cars_data WHERE Cylinders  >  4,True,1,moderate
144,What is the number of cars with more than 4 cylinders?,car_1,SELECT count(*) FROM CARS_DATA WHERE Cylinders  >  4;,,SELECT count(*) FROM cars_data WHERE Cylinders  >  4,True,SELECT count(*) FROM cars_data WHERE Cylinders  >  4,True,1,moderate
145,how many cars were produced in 1980?,car_1,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,,SELECT count(*) FROM cars_data WHERE YEAR  =  1980,True,SELECT count(*) FROM cars_data WHERE YEAR  =  1980,True,1,moderate
146,"In 1980, how many cars were made?",car_1,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,,SELECT count(*) FROM cars_data WHERE YEAR  =  1980,True,SELECT count(*) FROM cars_data WHERE YEAR  =  1980,True,1,moderate
147,How many car models were produced by the maker with full name American Motor Company?,car_1,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,,"SELECT count(*) FROM car_names AS T1 JOIN car_makers AS T2 ON T1.maker  =  T2.FullName WHERE T2.FullName  =  ""American Motor Company""",False,"SELECT count(*) FROM car_names AS T1 JOIN car_makers AS T2 ON T1.maker  =  T2.maker WHERE T2.full_name  =  ""American Motor Company""",False,2,moderate
148,What is the number of car models created by the car maker American Motor Company?,car_1,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,,SELECT count(*) FROM car_makers AS T1 JOIN car_names AS T2 ON T1.Maker  =  T2.MakerId WHERE T1.Country  =  'American Motor Company',False,"SELECT count(*) FROM car_names AS T1 JOIN car_makers AS T2 ON T1.maker  =  T2.maker WHERE T2.maker  =  ""American Motor Company""",False,2,moderate
149,Which makers designed more than 3 car models? List full name and the id.,car_1,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;",,"SELECT T2.FullName ,  T1.id FROM car_names AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker GROUP BY T1.Maker HAVING count(*)  >  3",False,"SELECT T2.FullName ,  T1.id FROM car_makers AS T1 JOIN model_list AS T2 ON T1.id  =  T2.Maker GROUP BY T1.id HAVING count(*)  >  3",False,4,complex
150,What are the names and ids of all makers with more than 3 models?,car_1,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;",,"SELECT T1.Maker ,  T1.id FROM car_names AS T1 JOIN car_makers AS T2 ON T1.makeid  =  T2.id WHERE T2.country  =  'USA' GROUP BY T1.Maker HAVING count(*)  >  3",False,"SELECT T2.Maker ,  T2.ModelId FROM model_list AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker GROUP BY T1.Maker HAVING count(*)  >  3",False,4,complex
151,Which distinctive models are produced by maker with the full name General Motors or weighing more than 3500?,car_1,SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,,"SELECT T2.Model FROM car_makers AS T1 JOIN car_names AS T2 ON T1.Country  =  T2.Country JOIN model_list AS T3 ON T1.Maker  =  T3.Maker WHERE T3.Edispl  >  3500 OR T1.FullName  =  ""General Motors""",False,SELECT Model FROM car_names WHERE Maker  =  'General Motors' OR Weight  >  3500,False,4,complex
152,What are the different models created by either the car maker General Motors or weighed more than 3500?,car_1,SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,,"SELECT T2.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker WHERE T1.Maker  =  ""General Motors"" OR T1.Weight  >  3500",False,"SELECT DISTINCT T1.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker WHERE T2.Maker  =  ""General Motors"" OR T1.Weight  >  3500",False,4,complex
153,In which years cars were produced weighing no less than 3000 and no more than 4000 ?,car_1,select distinct year from cars_data where weight between 3000 and 4000;,,SELECT Year FROM cars_data WHERE Weight BETWEEN 3000 AND 4000,True,SELECT DISTINCT YEAR FROM cars_data WHERE Weight BETWEEN 3000 AND 4000,True,1,moderate
154,What are the different years in which there were cars produced that weighed less than 4000 and also cars that weighted more than 3000 ?,car_1,select distinct year from cars_data where weight between 3000 and 4000;,,SELECT DISTINCT YEAR FROM cars_data WHERE WEIGHT  <  4000 INTERSECT SELECT DISTINCT YEAR FROM cars_data WHERE WEIGHT  >  3000,True,SELECT DISTINCT YEAR FROM cars_data WHERE WEIGHT  <  4000 INTERSECT SELECT DISTINCT YEAR FROM cars_data WHERE WEIGHT  >  3000,True,1,moderate
155,What is the horsepower of the car with the largest accelerate?,car_1,SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,,SELECT horsepower FROM cars_data ORDER BY accelerate DESC LIMIT 1,True,SELECT Horsepower FROM cars_data ORDER BY Accelerate DESC LIMIT 1,True,0,simple
156,What is the horsepower of the car with the greatest accelerate?,car_1,SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,,SELECT horsepower FROM cars_data ORDER BY accelerate DESC LIMIT 1,True,SELECT Horsepower FROM cars_data ORDER BY Accelerate DESC LIMIT 1,True,0,simple
157,"For model volvo, how many cylinders does the car with the least accelerate have?",car_1,SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,,SELECT min(Cylinders) FROM cars_data WHERE Maker  =  'volvo',False,"SELECT Cylinders FROM cars_data WHERE Model = ""volvo"" ORDER BY Accelerate LIMIT 1",False,1,moderate
158,"For a volvo model, how many cylinders does the version with least accelerate have?",car_1,SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,,SELECT count(*) FROM cars_data AS T1 JOIN car_names AS T2 ON T1.MakeId  =  T2.MakeId JOIN car_makers AS T3 ON T2.MakeId  =  T3.MakeId WHERE T3.Maker  =  'Volvo' AND T2.Model  =  '940',False,SELECT T2.Cylinders FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN model_list AS T3 ON T1.Model  =  T3.Model WHERE T3.Maker  =  'Volvo' AND T3.Model  =  '940' GROUP BY T1.Cylinders ORDER BY T1.Accelerate LIMIT 1,False,1,moderate
159,How many cars have a larger accelerate than the car with the largest horsepower?,car_1,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,,SELECT count(*) FROM cars_data AS T1 JOIN car_names AS T2 ON T1.Maker  =  T2.MakerId AND T1.Model  =  T2.Model WHERE T1.Accelerate  >  (SELECT max(horsepower) FROM cars_data),False,SELECT count(*) FROM cars_data AS T1 JOIN car_names AS T2 ON T1.Maker  =  T2.Maker AND T1.Model  =  T2.Model WHERE T1.Accelerate  >  (SELECT max(hp) FROM cars_data AS T3 JOIN car_names AS T4 ON T3.Maker  =  T4.Maker AND T3.Model  =  T4.Model WHERE T3.Horsepower  =  T4.Horsepower),False,2,moderate
160,What is the number of cars with a greater accelerate than the one with the most horsepower?,car_1,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,,SELECT count(*) FROM cars_data WHERE Accelerate  >  (SELECT max(horsepower) FROM cars_data),False,SELECT count(*) FROM cars_data AS T1 JOIN car_names AS T2 ON T1.Maker  =  T2.Maker AND T1.Model  =  T2.Model WHERE T1.Accelerate  >  (SELECT max(hp) FROM cars_data AS T3 JOIN car_names AS T4 ON T3.Maker  =  T4.Maker AND T3.Model  =  T4.Model WHERE T3.Maker  =  T4.Maker AND T3.Model  =  T4.Model),False,2,moderate
161,How many countries has more than 2 car makers ?,car_1,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,,SELECT count(*) FROM countries WHERE continent  >  2,False,SELECT count(*) FROM countries WHERE countryid  IN (SELECT countryid FROM car_makers GROUP BY countryid HAVING count(*)  >  2),False,5,complex
162,What is the number of countries with more than 2 car makers ?,car_1,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,,SELECT count(*) FROM countries WHERE continent  >  2,False,SELECT count(*) FROM countries WHERE countryid  >  2,False,5,complex
163,How many cars has over 6 cylinders?,car_1,SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,,SELECT count(*) FROM cars_data WHERE Cylinders  >  6,True,SELECT count(*) FROM cars_data WHERE Cylinders  >  6,True,1,moderate
164,What is the number of carsw ith over 6 cylinders?,car_1,SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,,SELECT count(*) FROM cars_data WHERE Cylinders  >  6,True,SELECT count(*) FROM cars_data WHERE Cylinders  >  6,True,1,moderate
165,"For the cars with 4 cylinders, which model has the largest horsepower?",car_1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,,SELECT T2.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN car_names AS T3 ON T1.Model  =  T3.Model WHERE T1.Cylinders  =  4 ORDER BY T1.Horsepower DESC LIMIT 1,False,SELECT T2.Model FROM cars_data AS T1 JOIN model_list AS T2 ON T1.Model = T2.Model WHERE T1.Cylinders  =  4 ORDER BY T1.Horsepower DESC LIMIT 1,False,1,moderate
166,"For all of the 4 cylinder cars, which model has the most horsepower?",car_1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,,SELECT T2.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN car_names AS T3 ON T1.Model  =  T3.Model WHERE T1.Cylinders  =  4 ORDER BY T3.Horsepower DESC LIMIT 1,False,SELECT T2.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN car_makers AS T3 ON T1.Maker  =  T3.Maker WHERE T1.Cylinders  =  4 ORDER BY T1.Horsepower DESC LIMIT 1,False,1,moderate
167,"Among the cars with more than lowest horsepower, which ones do not have more than 3 cylinders? List the car makeid and make name.",car_1,"SELECT T2.MakeId ,  T2.Make FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Horsepower  >  (SELECT min(Horsepower) FROM CARS_DATA) AND T1.Cylinders  <=  3;",,"SELECT T1.Maker ,  T1.Country FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker WHERE T1.Horsepower  >  (SELECT MIN(T2.Horsepower) FROM cars_data AS T2) GROUP BY T1.Maker HAVING COUNT(*)  >  1",False,"SELECT T1.Maker ,  T1.Model FROM car_names AS T1 JOIN car_makers AS T2 ON T1.MakeId  =  T2.Make WHERE T2.Cylinders  >  3 AND T1.Horsepower  >  (SELECT MIN(T2.Horsepower) FROM car_makers AS T2)",False,4,complex
168,"Among the cars that do not have the minimum horsepower , what are the make ids and names of all those with less than 4 cylinders ?",car_1,"select t2.makeid ,  t2.make from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.horsepower  >  (select min(horsepower) from cars_data) and t1.cylinders  <  4;",,"SELECT T1.Maker ,  T1.Country FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.id  =  T2.id WHERE T1.Horsepower  >  4",False,"SELECT T1.Maker ,  T1.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.MakeId  =  T2.Make WHERE T2.Cylinders  <  4 AND T1.Horsepower  =  (SELECT MIN(Horsepower) FROM cars_data)",False,4,complex
169,What is the maximum miles per gallon of the car with 8 cylinders or produced before 1980 ?,car_1,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,,SELECT max(MPG) FROM cars_data WHERE Cylinders  =  8 OR YEAR  <  1980,True,SELECT max(MPG) FROM cars_data WHERE Cylinders  =  8 OR Year  <  1980,True,2,moderate
170,What is the maximum mpg of the cars that had 8 cylinders or that were produced before 1980 ?,car_1,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,,SELECT max(MPG) FROM cars_data WHERE Cylinders  =  8 OR Year  <  1980,True,SELECT max(MPG) FROM cars_data WHERE Cylinders  =  8 OR Year  <  1980,True,2,moderate
171,Which models are lighter than 3500 but not built by the 'Ford Motor Company'?,car_1,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,,SELECT T2.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Country WHERE T1.Weight  <  3500 AND T1.Maker  !=  'Ford Motor Company',False,SELECT T1.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN countries AS T3 ON T2.Country  =  T3.Country WHERE T3.CountryName  =  'United States' AND T1.Weight  <  3500 AND T2.Maker  !=  'Ford Motor Company',False,4,complex
172,What are the different models wthat are lighter than 3500 but were not built by the Ford Motor Company?,car_1,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,,"SELECT T2.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN countries AS T3 ON T1.Country  =  T3.Country WHERE T1.Weight  <  3500 AND T1.Maker  !=  ""Ford Motor Company""",False,"SELECT T2.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker WHERE T1.Weight  <  3500 AND T1.Maker  !=  ""Ford""",False,4,complex
